,i,j,Lon,Lat,SL,UC,Code,Error
28601806,3407,2752,113.55,-1.71666666666667,99999.0,-60.6394755322504,121,100
28601807,3408,2752,113.583333333333,-1.71666666666667,99999.0,-58.1442776376794,121,100
28601808,3409,2752,113.616666666667,-1.71666666666667,99999.0,-55.4916329312194,121,100
28601809,3410,2752,113.65,-1.71666666666667,99999.0,-52.7745707449358,121,100
28601810,3411,2752,113.683333333333,-1.71666666666667,99999.0,-50.0893085058148,121,100
28601811,3412,2752,113.716666666667,-1.71666666666667,99999.0,-47.5310052692,121,100
28601812,3413,2752,113.75,-1.71666666666667,99999.0,-45.1862892114035,121,100
28612592,3393,2751,113.083333333333,-1.68333333333334,99999.0,-76.549989057589,121,100
28612593,3394,2751,113.116666666667,-1.68333333333334,99999.0,-72.6030347738355,121,100
28612594,3395,2751,113.15,-1.68333333333334,99999.0,-69.7405530531592,121,100
28612595,3396,2751,113.183333333333,-1.68333333333334,99999.0,-67.9798349271411,121,100
28612596,3397,2751,113.216666666667,-1.68333333333334,99999.0,-67.0546516919187,121,100
28612597,3398,2751,113.25,-1.68333333333334,99999.0,-66.6378559476726,121,100
28612598,3399,2751,113.283333333333,-1.68333333333334,99999.0,-66.4864231057504,121,100
28612599,3400,2751,113.316666666667,-1.68333333333334,99999.0,-66.4454715539013,121,100
28612600,3401,2751,113.35,-1.68333333333334,99999.0,-66.4066044752107,121,100
28612601,3402,2751,113.383333333333,-1.68333333333334,99999.0,-66.2578096861138,121,100
28612602,3403,2751,113.416666666667,-1.68333333333334,99999.0,-65.8700113306182,121,100
28612603,3404,2751,113.45,-1.68333333333334,99999.0,-65.1193259142031,121,100
28612604,3405,2751,113.483333333333,-1.68333333333334,99999.0,-63.9163256825491,121,100
28612605,3406,2751,113.516666666667,-1.68333333333334,99999.0,-62.248649350142,121,100
28612606,3407,2751,113.55,-1.68333333333334,99999.0,-60.1945432088892,121,100
28612607,3408,2751,113.583333333333,-1.68333333333334,99999.0,-57.8738405091813,121,100
28612608,3409,2751,113.616666666667,-1.68333333333334,99999.0,-55.3932299764643,121,100
28612609,3410,2751,113.65,-1.68333333333334,99999.0,-52.8317403847311,121,100
28612610,3411,2751,113.683333333333,-1.68333333333334,99999.0,-50.2667014677909,121,100
28612611,3412,2751,113.716666666667,-1.68333333333334,99999.0,-47.800765849031,121,100
28612612,3413,2751,113.75,-1.68333333333334,99999.0,-45.5391427497479,121,100
28623392,3393,2750,113.083333333333,-1.65000000000001,99999.0,-77.796702709164,121,100
28623393,3394,2750,113.116666666667,-1.65000000000001,99999.0,-74.0879552351376,121,100
28623394,3395,2750,113.15,-1.65000000000001,99999.0,-71.2446428449428,121,100
28623395,3396,2750,113.183333333333,-1.65000000000001,99999.0,-69.2864333503033,121,100
28623396,3397,2750,113.216666666667,-1.65000000000001,99999.0,-68.0604781861955,121,100
28623397,3398,2750,113.25,-1.65000000000001,99999.0,-67.3325349066479,121,100
28623398,3399,2750,113.283333333333,-1.65000000000001,99999.0,-66.8887252033443,121,100
28623399,3400,2750,113.316666666667,-1.65000000000001,99999.0,-66.5792983995028,121,100
28623400,3401,2750,113.35,-1.65000000000001,99999.0,-66.2923764635577,121,100
28623401,3402,2750,113.383333333333,-1.65000000000001,99999.0,-65.9162863553315,121,100
28623402,3403,2750,113.416666666667,-1.65000000000001,99999.0,-65.3372905925208,121,100
28623403,3404,2750,113.45,-1.65000000000001,99999.0,-64.4566805336624,121,100
