,i,j,Lon,Lat,SL,UC,Code,Error
26398650,3451,2956,115.016666666667,-8.51666666666667,112.626163552335,103.042957903162,108,100
26398651,3452,2956,115.05,-8.51666666666667,106.413112414296,98.6704753894064,108,100
26398652,3453,2956,115.083333333333,-8.51666666666667,101.411172559999,94.8050676692088,108,100
26398653,3454,2956,115.116666666667,-8.51666666666667,98.5282282560029,91.5049524175763,108,100
26398654,3455,2956,115.15,-8.51666666666667,97.0068887989521,88.3373704638609,108,100
26398655,3456,2956,115.183333333333,-8.51666666666667,91.5917680509136,84.5284601979568,108,100
26398656,3457,2956,115.216666666667,-8.51666666666667,83.0785949849289,80.2162954731949,108,100
26398657,3458,2956,115.25,-8.51666666666667,77.6204759193305,76.4372012475674,108,100
26398658,3459,2956,115.283333333333,-8.51666666666667,76.1327209898871,73.6361873058207,108,100
26398659,3460,2956,115.316666666667,-8.51666666666667,75.2305806913617,71.2413651890221,108,100
26398660,3461,2956,115.35,-8.51666666666667,73.5798423450231,68.540598165826,108,100
26398661,3462,2956,115.383333333333,-8.51666666666667,71.9984474140995,65.1961749406458,108,100
26398662,3463,2956,115.416666666667,-8.51666666666667,69.2468784301776,60.951997071495,108,100
26398663,3464,2956,115.45,-8.51666666666667,64.0856386729879,55.5966869886728,108,100
26398664,3465,2956,115.483333333333,-8.51666666666667,56.6213876111564,49.1446095350487,108,100
26398665,3466,2956,115.516666666667,-8.51666666666667,47.4947877168957,41.8004401857207,108,100
26398666,3467,2956,115.55,-8.51666666666667,37.7841654217723,33.7693148827561,108,100
26398667,3468,2956,115.583333333333,-8.51666666666667,27.4207347362289,25.0272081880758,108,100
26398668,3469,2956,115.616666666667,-8.51666666666667,15.9096925270425,15.4241672345878,108,100
26398669,3470,2956,115.65,-8.51666666666667,2.9753387608378,4.89058312204508,108,100
26398670,3471,2956,115.683333333333,-8.51666666666667,-11.6224799503898,-6.4880893191849,108,100
26398671,3472,2956,115.716666666667,-8.51666666666667,-27.6147264444813,-18.4265819963477,108,100
26398672,3473,2956,115.75,-8.51666666666667,-43.9354004109163,-30.4225805437664,108,100
26398673,3474,2956,115.783333333333,-8.51666666666667,-59.3518466112908,-41.7592200711836,108,100
26398674,3475,2956,115.816666666667,-8.51666666666667,-72.686168634182,-51.5965496457015,108,100
26398675,3476,2956,115.85,-8.51666666666667,-82.756018575189,-59.1419437501732,108,100
26398676,3477,2956,115.883333333333,-8.51666666666667,-88.758607999166,-63.754537198718,108,100
26409431,3432,2955,114.383333333333,-8.48333333333333,99999.0,99999.0,999,-999
26409432,3433,2955,114.416666666667,-8.48333333333333,99999.0,99999.0,999,-999
26409433,3434,2955,114.45,-8.48333333333333,99999.0,99999.0,999,-999
26409434,3435,2955,114.483333333333,-8.48333333333333,99999.0,99999.0,999,-999
26409435,3436,2955,114.516666666667,-8.48333333333333,129.761382097039,121.1035847019,13,212
26409436,3437,2955,114.55,-8.48333333333333,135.008904516839,125.119267531395,888,-888
26409437,3438,2955,114.583333333333,-8.48333333333333,138.330871430831,127.478211431479,888,-888
26409438,3439,2955,114.616666666667,-8.48333333333333,141.828222256429,130.222087812226,888,-888
26409439,3440,2955,114.65,-8.48333333333333,145.130944188374,132.596163718939,888,-888
26409440,3441,2955,114.683333333333,-8.48333333333333,148.240045595635,134.257917279272,888,-888
26409441,3442,2955,114.716666666667,-8.48333333333333,149.757190931015,134.840655553047,888,-888
26409442,3443,2955,114.75,-8.48333333333333,149.233882058908,134.23717356938,888,-888
26409443,3444,2955,114.783333333333,-8.48333333333333,147.058506564178,132.573787371845,888,-888
26409444,3445,2955,114.816666666667,-8.48333333333333,143.782573224227,130.010711031978,888,-888
26409445,3446,2955,114.85,-8.48333333333333,140.571754262692,126.750834676341,108,100
26409446,3447,2955,114.883333333333,-8.48333333333333,136.766215310125,123.011115747822,108,100
26409447,3448,2955,114.916666666667,-8.48333333333333,131.801518689671,118.850139168225,108,100
26409448,3449,2955,114.95,-8.48333333333333,126.551302953389,114.280563374073,108,100
26409449,3450,2955,114.983333333333,-8.48333333333333,120.21418157545,109.326634394611,108,100
26409450,3451,2955,115.016666666667,-8.48333333333333,112.777416614425,104.198511402384,108,100
26409451,3452,2955,115.05,-8.48333333333333,106.392318760515,99.3250637471633,108,100
26409452,3453,2955,115.083333333333,-8.48333333333333,101.182080680679,94.9361244343024,108,100
26409453,3454,2955,115.116666666667,-8.48333333333333,96.9961482271047,91.0942430761635,108,100
26409454,3455,2955,115.15,-8.48333333333333,94.6336675551872,87.5763907454989,108,100
26409455,3456,2955,115.183333333333,-8.48333333333333,90.1799477797735,83.7228629543341,108,100
26409456,3457,2955,115.216666666667,-8.48333333333333,82.5760079075041,79.5711797972338,108,100
26409457,3458,2955,115.25,-8.48333333333333,78.2506544926135,76.0860229637735,108,100
26409458,3459,2955,115.283333333333,-8.48333333333333,77.7386659185864,73.5590695625763,108,100
26409459,3460,2955,115.316666666667,-8.48333333333333,77.071678546762,71.301502494223,108,100
26409460,3461,2955,115.35,-8.48333333333333,74.9682041941324,68.5875391500242,108,100
26409461,3462,2955,115.383333333333,-8.48333333333333,71.354945656638,65.041733036155,108,100
26409462,3463,2955,115.416666666667,-8.48333333333333,66.0099960608441,60.503337437193,108,100
26409463,3464,2955,115.45,-8.48333333333333,59.0601912548905,54.9836445262737,108,100
26409464,3465,2955,115.483333333333,-8.48333333333333,51.90759759877,48.655472162195,108,100
26409465,3466,2955,115.516666666667,-8.48333333333333,44.6460911300795,41.6116159877772,888,-888
26409466,3467,2955,115.55,-8.48333333333333,36.4200041111663,33.714782322119,888,-888
26409467,3468,2955,115.583333333333,-8.48333333333333,25.8878160069272,24.6480117213881,888,-888
26409468,3469,2955,115.616666666667,-8.48333333333333,12.2858617862635,14.1875240600282,888,-888
26409469,3470,2955,115.65,-8.48333333333333,-3.9940318698818,2.3952413071383,888,-888
26409470,3471,2955,115.683333333333,-8.48333333333333,-21.7733829333932,-10.2898713600333,888,-888
26409471,3472,2955,115.716666666667,-8.48333333333333,-39.6638543053771,-23.2260547797343,888,-888
26409472,3473,2955,115.75,-8.48333333333333,-57.467789771718,-35.8193999522253,888,-888
26409473,3474,2955,115.783333333333,-8.48333333333333,-73.7260694496141,-47.2791630047207,888,-888
26409474,3475,2955,115.816666666667,-8.48333333333333,-86.43382613484,-56.6923886713393,888,-888
26409475,3476,2955,115.85,-8.48333333333333,-95.201269946988,-63.3721790456343,888,-888
26409476,3477,2955,115.883333333333,-8.48333333333333,-99.748586996054,-66.7235088227857,888,-888
26420231,3432,2954,114.383333333333,-8.45,7.1436594443408,6.7874594443408,13,212
26420232,3433,2954,114.416666666667,-8.45,22.2826286311191,21.8829686311191,13,212
26420233,3434,2954,114.45,-8.45,54.3235516895242,52.9979777028636,13,212
26420234,3435,2954,114.483333333333,-8.45,102.856762843255,98.6540969455513,13,212
26420235,3436,2954,114.516666666667,-8.45,136.454493533288,128.852256609514,13,212
26420236,3437,2954,114.55,-8.45,146.45584936702,136.720514212886,13,212
26420237,3438,2954,114.583333333333,-8.45,148.999441595454,138.198576411299,13,212
26420238,3439,2954,114.616666666667,-8.45,150.353560952302,138.964508455085,13,212
26420239,3440,2954,114.65,-8.45,152.129907464273,139.946470171714,13,212
26420240,3441,2954,114.683333333333,-8.45,153.57819329151,140.301444134451,13,212
26420241,3442,2954,114.716666666667,-8.45,153.333505268788,139.482481294626,13,212
26420242,3443,2954,114.75,-8.45,151.840578776299,137.968520504516,13,212
26420243,3444,2954,114.783333333333,-8.45,149.452138196229,135.840515448396,13,212
26420244,3445,2954,114.816666666667,-8.45,146.328199672415,132.93038650817,888,-888
