i,j,Lon,Lat,SL,UC,Code,Error
3324,2920,"110,7833333","-7,316666667","56,31345612","49,96341612",13,212
3325,2920,"110,8166667","-7,316666667","65,93949546","59,44997546",13,212
3326,2920,"110,85","-7,316666667","81,54639426","74,92074426",13,212
3327,2920,"110,8833333","-7,316666667","101,6416992","94,88367923",13,212
3328,2920,"110,9166667","-7,316666667","121,4438565","114,5576765",13,212
3329,2920,"110,95","-7,316666667","138,4971685","131,4874085",13,212
3330,2920,"110,9833333","-7,316666667","155,5325529","148,4041929",13,212
3331,2920,"111,0166667","-7,316666667","174,2461506","167,0045706",13,212
3332,2920,"111,05","-7,316666667","191,9871083","184,6380283",13,212
3333,2920,"111,0833333","-7,316666667","206,2123272","198,7618372",13,212
3334,2920,"111,1166667","-7,316666667","216,7816617","209,2361617",13,212
3335,2920,"111,15","-7,316666667","221,0548673","213,4210873",13,212
3336,2920,"111,1833333","-7,316666667","216,9497754","209,2347054",13,212
3337,2920,"111,2166667","-7,316666667","208,9419268","201,1528668",13,212
3338,2920,"111,25","-7,316666667","202,8184402","194,9629002",13,212
3339,2920,"111,2833333","-7,316666667","201,5059065","193,5916465",13,212
3340,2920,"111,3166667","-7,316666667","204,1248272","196,1597772",13,212
3341,2920,"111,35","-7,316666667","207,1316236","199,1238836",13,212
3342,2920,"111,3833333","-7,316666667","207,4760497","199,4338997",13,212
3343,2920,"111,4166667","-7,316666667","204,7726557","196,7044657",13,212
3344,2920,"111,45","-7,316666667","201,2331739","193,1474139",13,212
3345,2920,"111,4833333","-7,316666667","198,5833634","190,4885834",13,212
3346,2920,"111,5166667","-7,316666667","197,381379","189,286129",13,212
3347,2920,"111,55","-7,316666667","198,1802707","190,0931507",13,212
3348,2920,"111,5833333","-7,316666667","201,0754517","193,0050317",13,212
3349,2920,"111,6166667","-7,316666667","205,6301482","197,5849582",13,212
3350,2920,"111,65","-7,316666667","210,491161","202,479651",13,212
3351,2920,"111,6833333","-7,316666667","213,9678054","205,9983154",13,212
3352,2920,"111,7166667","-7,316666667","216,0017684","208,0825484",13,212
3353,2920,"111,75","-7,316666667","218,9596783","211,0988083",13,212
3354,2920,"111,7833333","-7,316666667","222,4758462","214,6812362",13,212
3355,2920,"111,8166667","-7,316666667","222,4407371","214,7200971",13,212
3356,2920,"111,85","-7,316666667","217,4539017","209,8147117",13,212
3357,2920,"111,8833333","-7,316666667","210,9616539","203,4111739",13,212
3358,2920,"111,9166667","-7,316666667","206,2615243","198,8067243",13,212
3359,2920,"111,95","-7,316666667","202,8909185","195,5384885",13,212
3360,2920,"111,9833333","-7,316666667","199,4711518","192,2274918",13,212
3361,2920,"112,0166667","-7,316666667","196,5241567","189,3953167",13,212
3362,2920,"112,05","-7,316666667","195,7287957","188,7205157",13,212
3363,2920,"112,0833333","-7,316666667","197,1659625","190,2836125",13,212
3364,2920,"112,1166667","-7,316666667","200,7376965","193,9862765",13,212
3365,2920,"112,15","-7,316666667","207,3850332","200,7691632",13,212
3366,2920,"112,1833333","-7,316666667","216,4191861","209,9431161",13,212
3367,2920,"112,2166667","-7,316666667","225,5849196","219,2524596",13,212
3368,2920,"112,25","-7,316666667","233,7848874","227,5994774",13,212
3369,2920,"112,2833333","-7,316666667","241,0118268","234,9764768",13,212
3370,2920,"112,3166667","-7,316666667","247,1014659","241,2187759",13,212
3371,2920,"112,35","-7,316666667","251,7118905","245,9840305",13,212
3372,2920,"112,3833333","-7,316666667","255,2169559","249,6456759",13,212
3373,2920,"112,4166667","-7,316666667","257,0865168","251,6731368",13,212
3374,2920,"112,45","-7,316666667","257,1682688","251,9137088",13,212
3375,2920,"112,4833333","-7,316666667","256,4065732","251,3113232",13,212
3376,2920,"112,5166667","-7,316666667","254,2457203","249,3098503",13,212
3377,2920,"112,55","-7,316666667","251,0826597","246,3058697",13,212
3378,2920,"112,5833333","-7,316666667","249,3105117","244,6920517",13,212
3379,2920,"112,6166667","-7,316666667","249,4009157","244,9396857",13,212
3380,2920,"112,65","-7,316666667","249,8748375","245,5693475",13,212
3381,2920,"112,6833333","-7,316666667","250,1372594","245,9856594",13,212
3382,2920,"112,7166667","-7,316666667","250,1971773","246,1972473",13,212
3383,2920,"112,75","-7,316666667","249,4131363","245,5623363",13,212
3384,2920,"112,7833333","-7,316666667","246,1585884","242,4456322",13,212
3385,2920,"112,8166667","-7,316666667","238,562791","234,9580315",13,212
3386,2920,"112,85","-7,316666667","226,3082126","222,7368702",13,212
3387,2920,"112,8833333","-7,316666667","212,4236023","208,7712392",13,212
3388,2920,"112,9166667","-7,316666667","201,1003723","197,2474892",13,212
3389,2920,"112,95","-7,316666667","195,5869801","191,2720385",13,212
3390,2920,"112,9833333","-7,316666667","196,2895353","191,7084963",13,212
3391,2920,"113,0166667","-7,316666667","199,9288406","196,4543662",13,212
3392,2920,"113,05","-7,316666667","205,5255883","202,7142892",13,212
3393,2920,"113,0833333","-7,316666667","214,4825148","208,59886",13,212
3394,2920,"113,1166667","-7,316666667","223,3101949","213,1920078",13,212
3316,2919,"110,5166667","-7,283333333","40,51092885","35,44403885",13,212
3317,2919,"110,55","-7,283333333","24,25623969","19,03723969",13,212
3318,2919,"110,5833333","-7,283333333","24,70141885","19,32993885",13,212
3319,2919,"110,6166667","-7,283333333","28,56219267","23,03830267",13,212
3320,2919,"110,65","-7,283333333","34,95639422","29,28061422",13,212
3321,2919,"110,6833333","-7,283333333","41,87724551","36,05054551",13,212
3322,2919,"110,7166667","-7,283333333","47,10120693","41,12501693",13,212
3323,2919,"110,75","-7,283333333","51,73943612","45,61563612",13,212
3324,2919,"110,7833333","-7,283333333","58,09101424","51,82195424",13,212
3325,2919,"110,8166667","-7,283333333","67,67928355","61,26774355",13,212
3326,2919,"110,85","-7,283333333","81,66790096","75,11710096",13,212
3327,2919,"110,8833333","-7,283333333","98,88263801","92,19624801",13,212
3328,2919,"110,9166667","-7,283333333","115,7019335","108,8840435",13,212
